model,mpg,cyl,hp,carb,x
Mazda RX4,21,6,110,4,xxx
Mazda RX4 Wag,21,6,110,4,xxx
Datsun 710,22.8,4,93,1,xxx
Hornet 4 Drive,21.4,6,110,1,xxx
Hornet Sportabout,18.7,8,175,2,xxx
Valiant,18.1,6,105,1,xxx
Duster 360,14.3,8,245,4,xxx
Merc 240D,24.4,4,62,2,xxx
Merc 230,22.8,4,95,2,xxx
Merc 280,19.2,6,123,4,xxx
Merc 280C,17.8,6,123,4,xxx
Merc 450SE,16.4,8,180,3,xxx
Merc 450SL,17.3,8,180,3,xxx
Merc 450SLC,15.2,8,180,3,xxx
Cadillac Fleetwood,10.4,8,205,4,xxx
Lincoln Continental,10.4,8,215,4,xxx
Chrysler Imperial,14.7,8,230,4,xxx
Fiat 128,32.4,4,66,1,xxx
Honda Civic,30.4,4,52,2,xxx
Toyota Corolla,33.9,4,65,1,xxx
Toyota Corona,21.5,4,97,1,xxx
Dodge Challenger,15.5,8,150,2,xxx
AMC Javelin,15.2,8,150,2,xxx
Camaro Z28,13.3,8,245,4,xxx
Pontiac Firebird,19.2,8,175,2,xxx
Fiat X1-9,27.3,4,66,1,xxx
Porsche 914-2,26,4,91,2,xxx
Lotus Europa,30.4,4,113,2,xxx
Ford Pantera L,15.8,8,264,4,xxx
Ferrari Dino,19.7,6,175,6,xxx
Maserati Bora,15,8,335,8,xxx
Volvo 142E,21.4,4,109,2,xxx
